dataset,uni_perm_512,bi_perm_512,tri_perm_512
1000,17.72164005,18.8122766,19.62048935
1500,29.86522563,31.60014168,36.27934837
2000,40.36301715,36.0983294,52.77299073
3000,68.05688434,64.77475507,70.33728645
5000,101.1613231,105.8453449,104.9901528
