dataset,permutation_64,permutation_128,permutation_256,permutation_512
1000,3.326525215,5.668202368,10.65452167,17.72164005
1500,5.109229716,8.7038505,17.79150799,29.86522563
2000,6.923924597,11.60766183,20.43448333,40.36301715
3000,9.941448534,17.503272,31.89363241,68.05688434
5000,24.45816308,34.60453357,169.7476821,101.1613231
