dataset,uni_perm_128,bi_perm_128,tri_perm_128
1000,5.668202368,5.489407333,6.508628301
1500,8.7038505,9.111996949,9.622249985
2000,11.60766183,10.77329122,17.37553567
3000,17.503272,17.42873828,17.79751496
5000,34.60453357,30.3695256,27.1193424
