dataset,uni_perm_256,bi_perm_256,tri_perm_256
1000,10.65452167,10.85335869,10.239337
1500,17.79150799,16.16918665,17.70679564
2000,20.43448333,18.97560698,25.71013375
3000,31.89363241,31.59187794,33.07705773
5000,169.7476821,55.36878915,48.26220925
