dataset,permutation_64,permutation_128,permutation_256,permutation_512
1000,3.286868683,6.508628301,10.239337,19.62048935
1500,5.713675499,9.622249985,17.70679564,36.27934837
2000,10.76804552,17.37553567,25.71013375,52.77299073
3000,10.41456902,17.79751496,33.07705773,70.33728645
5000,15.30332789,27.1193424,48.26220925,104.9901528
